ID,INTITULE,CATEGORIES,NOMENCLATURE,SITE_WEB,ADRESSE,CODE_INSEE,CODE_POSTAL,COMMUNE,TELEPHONE,FAX,HORAIRES_OUVERTURE,LATTITUDE,LONGITUDE,PRECISION,ORGANISME,URL,RUE,FAX,COURRIEL,TELEPHONE,CATEGORIES,ACTIVITES,RESSORT,ORGANISME_TUTEUR,MISSION,INTERVENANTS,AUDIENCES_TGI
4cac9e87293594648a004ccd,Tribunal de Grande Instance de Meaux,justice-organisme-public,tgi,http://www.justice.gouv.fr/,44 Avenue Salvador Allendé B.P. 230,77284,77108,MEAUX CEDEX,+33 1 60 09 75 00,+33 1 60 09 75 20,Du Lundi au Vendredi : de 9h à 12h et de 13h30 à 17h,48.956216,2.888272,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/seine-et-marne/tgi-77284-01.html,,,,,, ,,,,,
4cac9e87293594648a004ccc,Tribunal de Grande Instance du Mans,justice-organisme-public,tgi,http://www.justice.gouv.fr/,Cité Judiciaire 1 Avenue Pierre Mendès-France,72181,72014,LE MANS CEDEX 2,+33 2 43 83 77 00,+33 2 43 83 78 79,Du Lundi au Vendredi : de 9h à 12h et de 13h30 à 16h30,48.0064699,0.1997661,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/pays-de-la-loire/sarthe/tgi-72181-01.html,,,,,, ,,,,,
4cac9e87293594648a004ccf,Tribunal de Grande Instance de Draguignan,justice-organisme-public,tgi,http://www.justice.gouv.fr/,Palais de Justice 11 Rue Pierre Clément   B.P. 273,83050,83007,DRAGUIGNAN CEDEX,+33 4 94 60 57 00,+33 4 94 47 01 92,Du Lundi au Vendredi : de 8h à 12h et de 13h30 à 17h,43.537228,6.447793,4,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/provence-alpes-cote-d-azur/var/tgi-83050-01.html,,,,,, ,,,,,
4cac9e87293594648a004cce,Tribunal de Grande Instance de Versailles,justice-organisme-public,tgi,http://www.justice.gouv.fr/, ,78646,78011,VERSAILLES CEDEX,+33 1 39 07 39 07,+33 1 39 07 35 57,Du Lundi au Vendredi : de 8h30 à 12h30 et de 13h à 17h,48.803612,2.130523,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/yvelines/tgi-78646-01.html,3 Avenue de l'Europe,+33 1 39 07 35 59,,,, ,,,,,
4cac9e87293594648a004cc9,Tribunal de Grande Instance de Blois,justice-organisme-public,tgi,http://www.justice.gouv.fr/, ,41018,41018,BLOIS CEDEX,+33 2 54 44 60 99,+33 2 54 74 11 40,Du Lundi au Vendredi : de 8h30 à 12h et de 13h30 à 17h,47.589372,1.3338,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/centre/loir-et-cher/tgi-41018-01.html,Place de la République,,,,, ,,,,,
4cac9e87293594648a004cc8,Tribunal de Grande Instance de Vienne,justice-organisme-public,tgi,http://www.justice.gouv.fr/, ,38544,38209,VIENNE CEDEX,+33 4 74 78 81 81,+33 4 74 78 81 69,Du Lundi au Vendredi : de 9h à 12h et de 14h à 16h30,45.525884,4.8739588,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/rhone-alpes/isere/tgi-38544-01.html,16 Place Charles de Gaulle,,,,, ,,,,,
4cac9e87293594648a004ccb,Tribunal de Grande Instance de Nevers,justice-organisme-public,tgi,http://www.justice.gouv.fr/,Place du Palais B.P. 6,58194,58019,NEVERS CEDEX,+33 3 86 93 44 44,+33 3 86 36 83 09,Du Lundi au Vendredi : de 8h30 à 12h et de 13h30 à 17h,46.986588,3.157571,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/bourgogne/nievre/tgi-58194-01.html,,,,,, ,,,,,
4cac9e87293594648a004cca,Tribunal de Grande Instance de Metz,justice-organisme-public,tgi,http://www.justice.gouv.fr/,3 Rue Haute Pierre B.P. 81022,57463,57036,METZ CEDEX 01,+33 3 87 56 75 00,+33 3 87 56 75 15,Du Lundi au Vendredi : de 8h30 à 11h45 et de 13h30 à 16h30,49.116779,6.171264,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/lorraine/moselle/tgi-57463-01.html,,,,,, ,,,,,
4cac9e87293594648a004cc4,Tribunal de Grande Instance d'Ajaccio,justice-organisme-public,tgi,http://www.justice.gouv.fr/,4 boulevard Masseria BP 47,2A004,20181,AJACCIO CEDEX 1,+33 4 95 29 06 06,+33 4 95 29 06 05,,41.925605,8.736978,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/corse/corse-du-sud/tgi-2A004-01.html,,,,,, ,,,,,
4cac9e87293594648a004cc7,Tribunal de Grande Instance de Tours,justice-organisme-public,tgi,http://www.justice.gouv.fr/, ,37261,37928,TOURS CEDEX 9,+33 2 47 60 26 60,+33 2 47 60 26 61,Du Lundi au Vendredi : de 9h à 12h et de 14h à 17h,47.3900896,0.6897644,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/centre/indre-et-loire/tgi-37261-01.html,2 Place Jean-Jaurès,,,,, ,,,,,
4cac9e87293594648a004cc6,Tribunal de Grande Instance de Saint-Malo,justice-organisme-public,tgi,http://www.justice.gouv.fr/,1 Place Saint-Aaron CS 51731,35288,35417,ST MALO CEDEX,+33 2 99 20 20 20,+33 2 99 20 20 80,"Du Lundi au Jeudi : de 9h à 12h et de 14h à 17h
Le Vendredi : de 9h à 12h et de 14h à 16h",48.6481785,-2.0260898,4,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/bretagne/ille-et-vilaine/tgi-35288-01.html,,,,,, ,,,,,
4cac9e5e293594648a000084,Tribunal de Première Instance de Mata-Utu,justice-organisme-public,tgi,,Tribunal de Première Instance de MATA-UTU,98613,98600,UVEA,+681 72 27 15,+681 72 25 31,,-13.2833333,-176.1833333,4,Ministère de la justice,,,,,,, ,,,,,
4cac9e5e293594648a000085,Tribunal de Première Instance de Nouméa,justice-organisme-public,tgi,,2 Bd Extérieur   Fg Blanchot B.P. F4,98818,98848,NOUMEA CEDEX,+687 27 93 50,+687 28 51 59,,-22.2758333,166.4580556,4,Ministère de la justice,,,,,,, ,,,,,
4cac9e87293594648a004cc3,Tribunal de Grande Instance de Quimper,justice-organisme-public,tgi,http://www.justice.gouv.fr/, ,29232,29327,QUIMPER CEDEX,+33 2 98 82 88 00,+33 2 98 52 94 06,Du Lundi au Vendredi : de 9h à 12h et de 13h30 à 17h,47.992566,-4.108723,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/bretagne/finistere/tgi-29232-01.html,48 A quai de l'Odet,,,,, ,,,,,
