ID,INTITULE,CATEGORIES,NOMENCLATURE_DILA,SITE_WEB,ADRESSE,CODE_INSEE_COMMUNE,CODE_POSTAL,COMMUNE,TELEPHONE,FAX,HORAIRES_OUVERTURE,LATITUDE,LONGITUDE,PRECISION,ORGANISME,URL,RUE,COURRIEL
4cac9e62293594648a0006b6,Tribunal d'Instance de Toulon,justice-organisme-public,ti,http://www.justice.gouv.fr/,140 Bd Général Leclerc B.P. 507,83137,83041,TOULON CEDEX 9,+33 4 94 18 93 12,+33 4 94 18 93 13,Du Lundi au Vendredi : de 8h30 à 12h et de 13h30 à 16h30,43.125717,5.928309,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/provence-alpes-cote-d-azur/var/ti-83137-01.html,,
4cac9e62293594648a0006aa,Tribunal d'Instance d'Albi,justice-organisme-public,ti,http://www.justice.gouv.fr/,Place du Palais B.P. 156,81004,81005,ALBI CEDEX,+33 5 63 54 15 12,+33 5 63 38 35 55,Du Lundi au Vendredi : de 9h à 12h et de 14h à 17h,43.9266871,2.1459039,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/midi-pyrenees/tarn/ti-81004-01.html,,
4cac9e62293594648a0006ab,Tribunal d'Instance de Castres,justice-organisme-public,ti,http://www.justice.gouv.fr/,4 Rue du Palais B.P. 409,81065,81108,CASTRES CEDEX,+33 5 63 51 93 00,,Du Lundi au Vendredi : de 9h à 12h et de 14h à 17h,43.605796,2.23817,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/midi-pyrenees/tarn/ti-81065-01.html,,
4cac9e62293594648a0006a6,Tribunal d'Instance de Bressuire,justice-organisme-public,ti,http://www.justice.gouv.fr/, ,79049,79300,BRESSUIRE,+33 5 49 65 87 32,+33 5 49 80 61 95,"Le Lundi : de 9h à 12h et de 14h à 17h
Le Mardi : de 8h30 à 17h30
Du Mercredi au Vendredi : de 9h à 12h et de 14h à 17h",46.83937,-0.4890378,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/poitou-charentes/deux-sevres/ti-79049-01.html,1 bis boulevard Joffre,chg.ti-bressuire@justice.fr
4cac9e62293594648a0006a7,Tribunal d'Instance de Niort,justice-organisme-public,ti,http://www.justice.gouv.fr/,18 Rue Marcel Paul-Espace Thémis B.P. 8820,79191,79028,NIORT CEDEX,+33 5 49 05 45 40,+33 5 49 05 45 45,"Du Lundi au Jeudi : de 8h à 17h
Le Vendredi : de 8h à 16h30",46.324538,-0.470879,4,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/poitou-charentes/deux-sevres/ti-79191-01.html,,chg.ti-niort@justice.fr
4cac9e62293594648a000690,Tribunal d'Instance de Paris 19ème,justice-organisme-public,ti,http://www.justice.gouv.fr/,Immeuble Le Brabant 11 rue Cambrai,75119,75019,PARIS,+33 1 53 38 80 60,+33 1 42 45 43 80,Du Lundi au Vendredi : de 9h à 12h30 et de 13h30 à 16h,48.895903,2.381425,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/paris/ti-75119-01.html,,
4cac9e62293594648a000691,Tribunal d'Instance de Paris 20ème,justice-organisme-public,ti,,Mairie 6 Place Gambetta,75120,75020,PARIS,+33 1 47 97 19 52,+33 1 43 66 16 45,"Le Lundi : de 9h à 17h
Du Mardi au Vendredi : de 9h à 12h30 et de 13h30 à 16h",48.884589,2.340359,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/paris/ti-75120-01.html,,
4cac9e62293594648a00068e,Tribunal d'Instance de Paris 17ème,justice-organisme-public,ti,http://www.justice.gouv.fr/,Mairie 16/18 rue des Batignolles,75117,75017,PARIS,+33 1 45 22 74 97,+33 1 45 22 89 64,"Le Lundi : de 9h à 12h et de 13h à 17h
Du Mardi au Jeudi : de 9h à 17h
Le Vendredi : de 9h à 12h et de 13h à 16h",48.884589,2.340359,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/paris/ti-75117-01.html,,
4cac9e62293594648a00068f,Tribunal d'Instance de Paris 18ème,justice-organisme-public,ti,http://www.justice.gouv.fr/,Mairie 1 Place Jules Joffrin,75118,75018,PARIS,+33 1 49 25 83 25,+33 1 42 55 92 34,"Le Lundi : de 9h à 12h30
Du Mardi au Jeudi : de 9h à 16h
Le Vendredi : de 9h à 12h30",48.884589,2.340359,6,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/paris/ti-75118-01.html,,
4cac9e62293594648a00068c,Tribunal d'Instance de Paris 15ème,justice-organisme-public,ti,http://www.justice.gouv.fr/, ,75115,75015,PARIS,+33 1 53 68 77 80,+33 1 53 68 77 90,Du Lundi au Vendredi : de 9h à 16h,48.841564,2.299121,8,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/ile-de-france/paris/ti-75115-01.html,154 rue Lecourbe,
